APARTMENT NAME/COMPANY NAME,POINT OF CONTACT NAME,PHONE NUMBER - ,EMAIL ADDRESS,ROLE,PHONE NUMBER DECISION MAKER,LOCATION,HUBSPOT STATUS,COMMENTS
"Kma Estate, Langata Area Langata Nairobi",,729815403,,,,St Mary's Mission Hospital,,Wrong number is not from KMA estates.
La Casa Luxury Apartments Nairobi,,254726 233220,info@mikoohexquisite.co.ke,,,,,Already have a solution that is working perfectly for them. Are not looking to switch between solutions anytime soon. Proposed that I share the proposal on Whatsapp.
Langata link Real Estate,,721 556031,realestate@langatalink.com,,,"Langata Link Complex, Karen Nairobi",,"Was not able to speak on Propert management and requested that I write an email to Suzy, who is in the property management department. I have shared a proposal with Suzy."
Langata Paradise Apartments,,720511301,,,,"Langata Rd, Nairobi",,Was unable to connect with anyone from the company.
Langata Paradise Apartments,,254 (20) 3740092 / 254 (20) 3748822/ 254 (20) 3751158,langataparadise@gmail.com / info@langataparadise.com,,,,,Shared another phone number to call.
Langata View Apartments,,020 2634072,,,,"Langata Rd, Nairobi",,Was unable to connect with anyone from the company.
Laser Property Services,,0720 111 117 / 0788 111 117,info@laser.or.ke,,,,,Was unable to connect with anyone from the company.
Lavendar Properties,,0725 969 246 | 0115898076,info@lavenderproperties.co.ke,,,,,"Currently have a property management software, but shared the email of her superior for us to share the proposal."
Loam Home Realtors,,254748854467,,,,,,Was unable to connect with anyone from the company.
Mapema Properties,,254722854439,,,,,,Was unable to connect with anyone from the company.
MCPM Suites,,254729 636061,,,,,,Was unable to connect with anyone from the company.
New Point Properties,,254728444466,info@newpointproperties.co.ke ,,,"Africa Reit Building, Karen",,Spoke to Christine who is not in the property management depertment and she suggested taking our contact details for the property management team to reach out to me. Reached out to her again and she shared that the team said they do have a software they are using and are currently not interested in making a switch.
Ngurumaini Holdings Ltd,,254202101294,,,,Off-Magadi Road,,Was unable to connect with anyone from the company.
NyaraVille Apartments,,0719 399998,,,,"Langata Rd, Nairobi",,Was unable to connect with anyone from the company.
Pendeza Homes ,,254795770401,,,,,,Bad timing. Call back later.
Peponi & Co.,,254 716 164 410,info@peponirealestate.com,,,"Kofisi, Karen",,"Requested to be called back, was not available to speak at the time."
Point Properties Limited,Bernard,254 735 608 166/ 254705881652,pointproperties@gmail.com/ bernard@pointproperties.org,,,,,"Spoke to Bernard who was interested in a software. He requested sharing the pricing and proposal. That was shared, upon further inquiry, Bernard requested to be called back o Friday 24th February 2026"
Prime Property Kenya,,254100209332,office@primepropertykenya.com,,,Marula Lane,,Was unable to connect with anyone from the company.
Prince Capital Properties,,0722 533620,prince.capitalkenya@gmail.com,,,"Langata, Nairobi, ",,Was unable to connect with anyone from the company.
Prince Capital Properties,,254722533620,info@princecapital.co.ke,,,"Dodi Business Park, Nandi Road",,Was unable to connect with anyone from the company.
Principal Property Agents,,254722777421,,,,,,Was unable to connect with anyone from the company.
Propensity Properties and Consultants,,722 718 579,info@propensityproperties.co.ke,,,"Langata Rd, Nairobi",,Was unable to connect with anyone from the company.
Radian Real Estate Co.,,716203040,info@radianrealestate.com,,,Karen Boyani Road,,Was unable to connect with anyone from the company.
Real Management,,254722341111/ 254738400400,info@real.co.ke,,,,,"Currently have a property management software, but shared the email of her superior for us to share the proposal."
Restoco Limited,,25412251108,info@restoco.co.ke,,,Karen Proffessional Center,,Contact expressed no current interest in adopting a Property Management System
Sapama Technologies,,722 906 835,care@sapama.com,,,"Ndege Road, Nairobi",,Was unable to connect with anyone from the company.
Serene Valley Apartments & Spa,,254728 606726,,,,"31 Kiambere Rd, Nairobi",,Requested to call me back in a few.
SouthFront Properties,,254727404414,info@southfront.co.ke,,,"Zamari Business Park, Karen",,Was unable to connect with anyone from the company.
Standard Property Holdings Limited,,254799087717/ 25422312219,info@standard-property.com,,,The sultan Building,,Was unable to connect with anyone from the company.
Standard Property Holdings LTD,,254799 087717,info@standard-property.com,,,,,Was unable to connect with anyone from the company.
Traca Management Service,,254708103127,,,,,,Do have a property management software in place. John requested that we share our proposal as they were impressed with what we offer. I shared our proposal and will reach back out after a week to inquire on progress.
Vensam Property Kenya,,254722473703,vensaminvestmentlimited@gmail.com,,,"Mytown Mall, Langata",,Jesse notes that they are currently not doing property management but in the event they pick up property management in the future they I have shared our proposal for their perusal.
Westend Realtors,,254712111049,,,,City Estate,,Bad timing. Call back later.
Zarina Properties Kenya,,254748353126,,,,,,They currently have a property management software that is working well for them. Currently do not have any challenges or expectations that are not being met. Shared our proposal for their perusal and consideration in the event that they are open to another system.
,,,,,,,,
Adana Pods,,112077544,,,,,,
Elite Hostels,,707213055,,,,,,
Karen Gardens Hostels,,254741 445566,karengardens5@gmail.com,,,,,
